总字数为733605 红楼梦 共有12章 
657  几天        78   51246 
658  潇湘        78   51324 
659  吗         78   51402 
660  工夫        77   50820 
661  留下        77   50897 
662  太爷        77   50974 
663  扶         77   51051 
664  想到        77   51128 
665  一张        77   51205 
666  旁边        77   51282 
667  记得        77   51359 
668  这般        77   51436 
669  侄儿        77   51513 
670  觉得        77   51590 
671  妙玉        77   51667 
672  五儿        77   51744 
673  宝琴        77   51821 
674  今         76   51224 
675  怪         76   51300 
676  添         76   51376 
677  一概        76   51452 
678  说完        76   51528 
679  只当        76   51604 
680  外         76   51680 
681  恨         76   51756 
682  凭         76   51832 
683  新         75   51225 
684  热闹        75   51300 
685  心下        75   51375 
686  上去        75   51450 
687  吓         75   51525 
688  不怕        75   51600 
689  取         75   51675 
690  老人家       75   51750 
691  呆         74   51134 
692  药         74   51208 
693  闲话        74   51282 
694  这是        74   51356 
695  一番        74   51430 
696  人道        74   51504 
697  别说        74   51578 
698  由         74   51652 
699  它         74   51726 
700  蟾         74   51800 
701  所有        73   51173 
702  读书        73   51246 
703  嚷         73   51319 
704  两         73   51392 
705  接着        73   51465 
706  受         72   50832 
707  出门        72   50904 
708  今年        72   50976 
709  贾         72   51048 
710  春         72   51120 
711  晚上        72   51192 
712  雪雁        72   51264 
713  索性        72   51336 
714  着急        72   51408 
715  岫         72   51480 
716  芳官        72   51552 
717  换         71   50907 
718  随         71   50978 
719  因笑        71   51049 
720  一一        71   51120 
721  回道        71   51191 
722  床上        71   51262 
723  也好        71   51333 
724  叔叔        71   51404 
725  这么着       71   51475 
726  秋纹        71   51546 
727  说起        70   50890 
728  真是        70   50960 
729  寻         70   51030 
730  求         70   51100 
731  慢慢        70   51170 
732  正经        70   51240 
733  时常        70   51310 
734  打量        70   51380 
735  兮         70   51450 
736  干净        70   51520 
737  刚         70   51590 
738  府         70   51660 
739  一定        70   51730 
740  跪下        70   51800 
741  剩         69   51129 
742  好歹        69   51198 
743  留         69   51267 
744  女孩子       69   51336 
745  里间        69   51405 
746  头里        69   51474 
747  躺         69   51543 
748  一块        68   50864 
749  凡         68   50932 
750  暂且        68   51000 
751  有事        68   51068 
752  无奈        68   51136 
753  刚才        68   51204 
754  混         68   51272 
755  门上        68   51340 
756  女孩儿       68   51408 
757  姨妈        68   51476 
758  但是        68   51544 
759  当日        67   50853 
760  不及        67   50920 
761  渐渐        67   50987 
762  几句        67   51054 
763  生日        67   51121 
764  再说        67   51188 
765  未了        67   51255 
766  画         67   51322 
767  名字        67   51389 
768  亲         67   51456 
769  婶子        67   51523 
770  命人        67   51590 
771  却说        66   50886 
772  必是        66   50952 
773  可怜        66   51018 
774  不在话下      66   51084 
775  拿来        66   51150 
776  嗳         66   51216 
777  冷         66   51282 
778  眼睛        66   51348 
779  凤丫头       66   51414 
780  看看        65   50700 
781  未免        65   50765 
782  迟         65   50830 
783  送来        65   50895 
784  恼         65   50960 
785  半天        65   51025 
786  湘莲        65   51090 
787  蝌         65   51155 
788  矣         64   50432 
789  越         64   50496 
790  嫌         64   50560 
791  一位        64   50624 
792  红         64   50688 
793  传         64   50752 
794  何苦        64   50816 
795  贾兰        64   50880 
796  大老爷       64   50944 
797  念         64   51008 
798  一顿        64   51072 
799  之后        63   50337 
800  因见        63   50400 
801  何必        63   50463 
802  抱怨        63   50526 
803  生         63   50589 
804  仔细        63   50652 
805  一笑        63   50715 
806  一阵        63   50778 
807  哟         63   50841 
808  放下        63   50904 
809  一径        63   50967 
810  恐怕        63   51030 
811  二姐        63   51093 
812  究竟        62   50344 
813  令         62   50406 
814  一把        62   50468 
815  尚未        62   50530 
816  近日        62   50592 
817  当下        62   50654 
818  嘱咐        62   50716 
819  屋子        62   50778 
820  偷         62   50840 
821  必定        62   50902 
822  睡着        62   50964 
823  回到        62   51026 
824  因为        62   51088 
825  讲         62   51150 
826  道理        62   51212 
827  可惜        61   50447 
828  从此        61   50508 
829  先生        61   50569 
830  摆         61   50630 
831  长         61   50691 
832  贼         61   50752 
833  惜春        61   50813 
